scenario,mode,mode_label,seed,best_epoch,n_train,n_val,n_test,test_accuracy,test_f1,test_precision,test_recall,test_auc
w2_predict_w3,online_only,online only,52,4,4027,1343,1343,0.6388682055100521,0.6482958665699783,0.6422413793103449,0.6544655929721815,0.6949332268512356
w2_predict_w3,online_only,online only,62,5,4027,1343,1343,0.6686522710349962,0.6777697320782042,0.670487106017192,0.6852122986822841,0.7260548382803141
w2_predict_w3,online_only,online only,72,8,4027,1343,1343,0.6641846612062546,0.6580742987111448,0.6823899371069182,0.6354319180087847,0.7288788322463285
w2_predict_w3,online_only,online only,82,6,4027,1343,1343,0.652271034996277,0.6553505535055351,0.6607142857142857,0.6500732064421669,0.7024025023292958
w2_self,baseline_untyped,Baseline (untyped),42,12,4027,1343,1343,0.7304542069992555,0.7510316368638239,0.75,0.7520661157024794,0.7998401578775824
w2_self,baseline_untyped,Baseline (untyped),52,11,4027,1343,1343,0.7252419955323902,0.7463917525773196,0.7448559670781894,0.7479338842975206,0.8045572864344044
w2_self,baseline_untyped,Baseline (untyped),62,10,4027,1343,1343,0.7088607594936709,0.7263820853743876,0.7382645803698435,0.7148760330578512,0.7867067611431837
w2_self,baseline_untyped,Baseline (untyped),72,11,4027,1343,1343,0.7289650037230082,0.7486187845303868,0.7506925207756233,0.7465564738292011,0.8082832152376871
w2_self,baseline_untyped,Baseline (untyped),82,11,4027,1343,1343,0.7304542069992555,0.7489597780859917,0.7541899441340782,0.743801652892562,0.808903831299588
w2_self,enemy_only,enemy only,42,11,4027,1343,1343,0.7222635889798957,0.7360226468506723,0.7569141193595342,0.7162534435261708,0.795520402194927
w2_self,enemy_only,enemy only,52,10,4027,1343,1343,0.7222635889798957,0.7404314544189283,0.7482419127988749,0.7327823691460055,0.7922498894946222
w2_self,enemy_only,enemy only,62,10,4027,1343,1343,0.7148175725986597,0.732728541521284,0.7425742574257426,0.7231404958677686,0.7884681498944061
w2_self,enemy_only,enemy only,72,6,4027,1343,1343,0.7163067758749069,0.7454909819639278,0.7237354085603113,0.768595041322314,0.7941117376803247
w2_self,enemy_only,enemy only,82,8,4027,1343,1343,0.7185405807892777,0.738950276243094,0.7409972299168975,0.7369146005509641,0.7927856731451839
w2_self,friend_only,friend only,42,12,4027,1343,1343,0.7282204020848846,0.7445766270118964,0.7567567567567568,0.7327823691460055,0.806818739926151
w2_self,friend_only,friend only,52,11,4027,1343,1343,0.7282204020848846,0.7474048442906575,0.7510431154381085,0.743801652892562,0.807838961294096
w2_self,friend_only,friend only,62,15,4027,1343,1343,0.7222635889798957,0.7367678193366267,0.7554269175108539,0.71900826446281,0.7891892253907872
w2_self,friend_only,friend only,72,10,4027,1343,1343,0.7393894266567387,0.7552447552447552,0.7670454545454546,0.743801652892562,0.8080421125949342
w2_self,friend_only,friend only,82,11,4027,1343,1343,0.7356664184661206,0.7522679692951849,0.7623762376237624,0.7424242424242424,0.8178023047626701
w2_self,offline_enemy_only,offline_enemy only,42,11,4027,1343,1343,0.7267311988086373,0.7402689313517339,0.7612809315866085,0.7203856749311295,0.797682512468132
w2_self,offline_enemy_only,offline_enemy only,52,5,4027,1343,1343,0.7043931496649293,0.7263955892487939,0.7268965517241379,0.7258953168044077,0.7850770858727246
w2_self,offline_enemy_only,offline_enemy only,62,10,4027,1343,1343,0.7073715562174236,0.7253668763102725,0.7361702127659574,0.7148760330578512,0.7862892963821209
w2_self,offline_enemy_only,offline_enemy only,72,6,4027,1343,1343,0.7230081906180194,0.7489878542510121,0.7341269841269841,0.7644628099173554,0.7922632840858861
w2_self,offline_enemy_only,offline_enemy only,82,8,4027,1343,1343,0.7163067758749069,0.7374224672639559,0.7379310344827587,0.7369146005509641,0.7848359832299718
w2_self,offline_friend_only,offline_friend only,42,11,4027,1343,1343,0.7297096053611318,0.7459762071378586,0.7581792318634424,0.7341597796143251,0.8027624112050221
w2_self,offline_friend_only,offline_friend only,52,11,4027,1343,1343,0.7289650037230082,0.7465181058495822,0.7549295774647887,0.7382920110192838,0.8052761294989084
w2_self,offline_friend_only,offline_friend only,62,10,4027,1343,1343,0.7096053611317945,0.726507713884993,0.74,0.7134986225895317,0.7863473396109317
w2_self,offline_friend_only,offline_friend only,72,10,4027,1343,1343,0.7326880119136262,0.7487753673897831,0.7610241820768137,0.7369146005509641,0.80690357233749
w2_self,offline_friend_only,offline_friend only,82,15,4027,1343,1343,0.7341772151898734,0.7532826537664132,0.7558945908460472,0.7506887052341598,0.816938353626139
w2_self,offline_only,offline only,42,12,4027,1343,1343,0.7289650037230082,0.7489655172413793,0.75,0.7479338842975206,0.7977930178460604
w2_self,offline_only,offline only,52,11,4027,1343,1343,0.720029784065525,0.7410468319559229,0.7410468319559229,0.7410468319559229,0.7997932768081581
w2_self,offline_only,offline only,62,10,4027,1343,1343,0.702903946388682,0.72,0.7339055793991416,0.7066115702479339,0.7811011246991798
w2_self,offline_only,offline only,72,11,4027,1343,1343,0.723752792256143,0.7457162440027416,0.7421555252387448,0.7493112947658402,0.8053140808408232
w2_self,offline_only,offline only,82,16,4027,1343,1343,0.7297096053611318,0.7463312368972747,0.7574468085106383,0.7355371900826446,0.8094954257470834
w2_self,online_enemy_only,online_enemy only,42,10,4027,1343,1343,0.7207743857036486,0.7327156094084105,0.7592319054652881,0.7079889807162535,0.7921538949238964
w2_self,online_enemy_only,online_enemy only,52,5,4027,1343,1343,0.7051377513030529,0.7291381668946648,0.7241847826086957,0.7341597796143251,0.787376490706386
w2_self,online_enemy_only,online_enemy only,62,10,4027,1343,1343,0.7170513775130305,0.7342657342657343,0.7457386363636364,0.7231404958677686,0.7828044702215913
w2_self,online_enemy_only,online_enemy only,72,6,4027,1343,1343,0.7096053611317945,0.7375504710632571,0.7210526315789474,0.7548209366391184,0.7891378794576083
w2_self,online_enemy_only,online_enemy only,82,7,4027,1343,1343,0.7230081906180194,0.7445054945054945,0.7424657534246575,0.7465564738292011,0.795978050729782
