student_id,class_before,class_after,class_changed,conversion_stage,class_original
s112201310065,國二1,201,,nation_grade_class_pattern,國二1
s112201310066,國二1,201,,nation_grade_class_pattern,國二1
s112201310070,國二4,204,,nation_grade_class_pattern,國二4
s112201310072,國二4,204,,nation_grade_class_pattern,國二4
s112201310075,國二4,204,,nation_grade_class_pattern,國二4
s112201310077,國二4,204,,nation_grade_class_pattern,國二4
s112201310079,國二4,204,,nation_grade_class_pattern,國二4
s112201310080,國二4,204,,nation_grade_class_pattern,國二4
s112201310081,國二4,204,,nation_grade_class_pattern,國二4
s112201310083,國二4,204,,nation_grade_class_pattern,國二4
s112201310084,國二4,204,,nation_grade_class_pattern,國二4
s112201310085,國二4,204,,nation_grade_class_pattern,國二4
s112201310089,國二4,204,,nation_grade_class_pattern,國二4
s112201310090,國二4,204,,nation_grade_class_pattern,國二4
s112201310091,國二4,204,,nation_grade_class_pattern,國二4
s112201310092,國二4,204,,nation_grade_class_pattern,國二4
s112201310093,國二4,204,,nation_grade_class_pattern,國二4
s112201310094,國二4,204,,nation_grade_class_pattern,國二4
s112201310096,國二4,204,,nation_grade_class_pattern,國二4
s112201310097,國二4,204,,nation_grade_class_pattern,國二4
s112201310099,國二4,204,,nation_grade_class_pattern,國二4
s112201310100,國二4,204,,nation_grade_class_pattern,國二4
s112201310101,國二4,204,,nation_grade_class_pattern,國二4
s112201310102,國二4,204,,nation_grade_class_pattern,國二4
s112201310103,國二4,204,,nation_grade_class_pattern,國二4
s112201310106,國二4,204,,nation_grade_class_pattern,國二4
s112201310107,國二4,204,,nation_grade_class_pattern,國二4
s112201310108,國二4,204,,nation_grade_class_pattern,國二4
s112203505053,八年12班,812,,grade_year_class_pattern,八年12班
s112203505054,八年12班,812,,grade_year_class_pattern,八年12班
s112203505055,八年12班,812,,grade_year_class_pattern,八年12班
s112203505056,八年12班,812,,grade_year_class_pattern,八年12班
s112203505057,八年12班,812,,grade_year_class_pattern,八年12班
s112203505058,八年12班,812,,grade_year_class_pattern,八年12班
s112203505059,八年12班,812,,grade_year_class_pattern,八年12班
s112203505060,八年12班,812,,grade_year_class_pattern,八年12班
