scenario,setting,feature_year,target_year,target_group_id,target_median_cutoff,target_positive_rate,n_base_features_drop,n_group_features_added,group_features_added,n_rows_modeling,n_train,n_test,n_features_requested,n_features_used,dropped_all_missing_feature_cols,c_selected,train_accuracy,train_f1,train_auc,test_accuracy,test_f1,test_auc,cv5_accuracy_mean,cv5_accuracy_std,cv5_f1_mean,cv5_f1_std,cv5_auc_mean,cv5_auc_std
w3_self,drop_plus_D2,W3,W3,54,21.0,0.526124488868696,119,1,ip_reciprocal_enemy_count,6603,5282,1321,120,120,[],0.003981071705534973,0.7059825823551685,0.7207336809926272,0.7842381872950732,0.6941710825132476,0.7033773861967695,0.7654998046291401,0.6922637808822516,0.011309049389564809,0.7085675311093198,0.009712747790885531,0.765998151483126,0.015530079699250743
w3_self,drop_plus_D3,W3,W3,54,21.0,0.526124488868696,119,1,ip_liked_by_me_but_enemy_to_me_count,6603,5282,1321,120,120,[],0.003981071705534973,0.7048466489965922,0.7194529422350189,0.7844112074506634,0.6903860711582135,0.6981549815498155,0.7650584963339232,0.6924158695203358,0.013433339762333671,0.7086753192190891,0.011839199185297201,0.7661567800200954,0.015625542612324475
w3_self,drop_plus_D4,W3,W3,54,21.0,0.526124488868696,119,1,ip_enemy_by_me_but_likes_me_count,6603,5282,1321,120,120,[],0.003981071705534973,0.7097690268837562,0.7246272678282738,0.7844450639081968,0.6949280847842544,0.7047619047619048,0.7653894775553359,0.6933241575482303,0.01199574898520296,0.709121465229175,0.010196427403003954,0.7662307648968874,0.015347726976581117
w3_self,drop_plus_D5,W3,W3,54,21.0,0.526124488868696,119,1,ip_same_target_friend_and_enemy_count,6603,5282,1321,120,120,[],0.003981071705534973,0.7080651268458917,0.7226618705035971,0.7847450278090187,0.6956850870552612,0.7052785923753666,0.7665318224653503,0.6928697267909986,0.011435881584499026,0.7087266414723705,0.009844654742068276,0.7667685314882252,0.015131578612061483
w2_predict_w3,baseline_drop,W2,W3,54,21.0,0.526124488868696,117,0,,6603,5282,1321,117,117,[],0.001,0.6472926921620599,0.6721801865212036,0.7085117865757924,0.6593489780469342,0.6830985915492958,0.7150941227848393,0.6415309797444544,0.014626723908744341,0.6659858253524444,0.01400096735168923,0.6983064176673281,0.016379308597143608
w2_predict_w3,drop_plus_A1,W2,W3,54,21.0,0.526124488868696,117,4,ip_out_online_friend;ip_out_online_enemy;ip_out_offline_friend;ip_out_offline_enemy,6603,5282,1321,121,121,[],0.001,0.646914047709201,0.6717127266326351,0.7087279359766481,0.6555639666919001,0.6807017543859649,0.7146964856230033,0.6395628885371505,0.01709967472644608,0.6635457959858526,0.016096271833341967,0.6976020676183877,0.01691865597418811
w2_predict_w3,drop_plus_A2,W2,W3,54,21.0,0.526124488868696,117,4,ip_in_online_friend;ip_in_online_enemy;ip_in_offline_friend;ip_in_offline_enemy,6603,5282,1321,121,121,[],0.001,0.6461567588034836,0.6705446853516658,0.7087137033257105,0.6608629825889477,0.6840620592383639,0.7139770611625715,0.639713715504783,0.014329536445428495,0.6639234103326718,0.013532526263052775,0.6976856520824865,0.016051374998612384
w2_predict_w3,drop_plus_B1,W2,W3,54,21.0,0.526124488868696,117,2,ip_out_friend_total;ip_out_enemy_total,6603,5282,1321,119,119,[],0.001,0.6482393032942068,0.6730024639211545,0.7086035799861325,0.6570779712339136,0.6816584680252986,0.7149125428092031,0.6400168605051271,0.016152938596643178,0.6640162180740663,0.015232459889379945,0.6978176379633234,0.016794208332320933
w2_predict_w3,drop_plus_B2,W2,W3,54,21.0,0.526124488868696,117,2,ip_in_friend_total;ip_in_enemy_total,6603,5282,1321,119,119,[],0.001,0.6463460810299129,0.6708949964763918,0.7087036398351485,0.6593489780469342,0.6826516220028209,0.7142528788470821,0.6395624297478953,0.014410323152683825,0.6637258139520126,0.013784875711053256,0.6978668234430989,0.016079258156535808
w2_predict_w3,drop_plus_C1,W2,W3,54,21.0,0.526124488868696,117,2,ip_out_friend_online_minus_offline;ip_out_enemy_online_minus_offline,6603,5282,1321,119,119,[],0.001,0.6459674365770541,0.6712376933895922,0.7087302362030623,0.6570779712339136,0.681210415200563,0.7146597099317351,0.6407740921707614,0.014882829184816697,0.6654215546611864,0.014200131367819762,0.6981700564918865,0.016419966894098564
