scenario,mode,mode_label,seed,best_epoch,n_train,n_val,n_test,test_accuracy,test_f1,test_precision,test_recall,test_auc
w3_self,enemy_only,enemy only,42,12,3961,1321,1321,0.6828160484481454,0.6851990984222389,0.7169811320754716,0.6561151079136691,0.7450732066104304
w3_self,enemy_only,enemy only,52,6,3961,1321,1321,0.6760030280090841,0.6838995568685377,0.7025796661608498,0.6661870503597123,0.7469441699036936
w3_self,enemy_only,enemy only,62,10,3961,1321,1321,0.6934140802422407,0.7084233261339092,0.7089337175792507,0.7079136690647482,0.7572620497850922
w3_self,enemy_only,enemy only,72,8,3961,1321,1321,0.6820590461771385,0.6952104499274311,0.7013177159590044,0.6892086330935252,0.7423724917829315
w3_self,enemy_only,enemy only,82,8,3961,1321,1321,0.6623769871309614,0.6809728183118741,0.6770981507823614,0.6848920863309352,0.7197853219022226
w3_self,friend_only,friend only,42,12,3961,1321,1321,0.6873580620741863,0.6878306878306878,0.7245222929936306,0.6546762589928058,0.7502103109844392
w3_self,friend_only,friend only,52,7,3961,1321,1321,0.6744890234670704,0.6893063583815029,0.6923076923076923,0.6863309352517986,0.7470636909003148
w3_self,friend_only,friend only,62,13,3961,1321,1321,0.6691900075700227,0.684931506849315,0.6864161849710982,0.6834532374100719,0.7476268186728572
w3_self,friend_only,friend only,72,8,3961,1321,1321,0.6646479939439819,0.6810655147588193,0.6815561959654178,0.6805755395683454,0.735649435722987
w3_self,friend_only,friend only,82,8,3961,1321,1321,0.668433005299016,0.6835260115606936,0.6865021770682148,0.6805755395683454,0.7311559059461696
w3_self,offline_enemy_only,offline_enemy only,42,7,3961,1321,1321,0.6775170325510976,0.6762917933130699,0.71658615136876,0.6402877697841727,0.7464316087066449
w3_self,offline_enemy_only,offline_enemy only,52,6,3961,1321,1321,0.6707040121120363,0.6780162842339008,0.698170731707317,0.6589928057553956,0.7430689314363206
w3_self,offline_enemy_only,offline_enemy only,62,9,3961,1321,1321,0.6858440575321726,0.7050461975835111,0.6966292134831461,0.7136690647482015,0.7569391132461444
w3_self,offline_enemy_only,offline_enemy only,72,8,3961,1321,1321,0.6797880393641181,0.6950252343186734,0.6965317919075145,0.6935251798561151,0.7400648171558599
w3_self,offline_enemy_only,offline_enemy only,82,8,3961,1321,1321,0.6737320211960636,0.6888086642599278,0.691304347826087,0.6863309352517986,0.727112878387386
