dataset,variable_name,group_id,item,n_rows,n_missing,pct_missing,n_nonmissing
W2 2024,Social Media Use: Selective Sharing and Impression Management,v23,v23_6,6603,0,0.0,6603
W2 2024,Social Media Use: Selective Sharing and Impression Management,v23,v23_7,6603,0,0.0,6603
W2 2024,Social Media Use: Selective Sharing and Impression Management,v23,v23_8,6603,0,0.0,6603
W2 2024,Social Media Use: Selective Sharing and Impression Management,v23,v23_9,6603,0,0.0,6603
W3 2025,Social Media Use: Selective Sharing and Impression Management,25,25-0,6603,0,0.0,6603
W3 2025,Social Media Use: Selective Sharing and Impression Management,25,25-1,6603,267,4.04,6336
W3 2025,Social Media Use: Selective Sharing and Impression Management,25,25-2,6603,267,4.04,6336
W3 2025,Social Media Use: Selective Sharing and Impression Management,25,25-3,6603,267,4.04,6336
W3 2025,Social Media Use: Selective Sharing and Impression Management,25,25-4,6603,267,4.04,6336
W3 2025,Social Media Use: Selective Sharing and Impression Management,25,25-5,6603,267,4.04,6336
W3 2025,Social Media Use: Selective Sharing and Impression Management,25,25-6,6603,267,4.04,6336
W3 2025,Social Media Use: Selective Sharing and Impression Management,25,25-7,6603,267,4.04,6336
W3 2025,Social Media Use: Selective Sharing and Impression Management,25,25-8,6603,267,4.04,6336
W3 2025,Social Media Use: Selective Sharing and Impression Management,25,25-9,6603,267,4.04,6336
W2 2024,Physical/Offline Bullying Perpetration,v36,v36,6603,0,0.0,6603
W3 2025,Physical/Offline Bullying Perpetration,32,32,6603,0,0.0,6603
W2 2024,Self-Rated Health Status,v52,v52,6603,0,0.0,6603
W3 2025,Self-Rated Health Status,51,51,6603,0,0.0,6603
W2 2024,Online Social Comparison and Perspective Seeking,v26,v26_1,6603,0,0.0,6603
W2 2024,Online Social Comparison and Perspective Seeking,v26,v26_2,6603,0,0.0,6603
W2 2024,Online Social Comparison and Perspective Seeking,v26,v26_3,6603,0,0.0,6603
W2 2024,Online Social Comparison and Perspective Seeking,v26,v26_4,6603,0,0.0,6603
W2 2024,Online Social Comparison and Perspective Seeking,v26,v26_5,6603,0,0.0,6603
W2 2024,Online Social Comparison and Perspective Seeking,v26,v26_6,6603,0,0.0,6603
W3 2025,Online Social Comparison and Perspective Seeking,27,27-1,6603,0,0.0,6603
W3 2025,Online Social Comparison and Perspective Seeking,27,27-2,6603,0,0.0,6603
W3 2025,Online Social Comparison and Perspective Seeking,27,27-3,6603,0,0.0,6603
W3 2025,Online Social Comparison and Perspective Seeking,27,27-4,6603,0,0.0,6603
W3 2025,Online Social Comparison and Perspective Seeking,27,27-5,6603,0,0.0,6603
W3 2025,Online Social Comparison and Perspective Seeking,27,27-6,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_1,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_2,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_3,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_4,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_5,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_6,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_7,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_8,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_9,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_10,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_11,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_12,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_13,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_14,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_15,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_16,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_17,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_18,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_19,6603,0,0.0,6603
W2 2024,Social and Emotional Learning (SEL) Competencies,v54,v54_20,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-1,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-2,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-3,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-4,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-5,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-6,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-7,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-8,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-9,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-10,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-11,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-12,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-13,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-14,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-15,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-16,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-17,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-18,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-19,6603,0,0.0,6603
W3 2025,Social and Emotional Learning (SEL) Competencies,53,53-20,6603,0,0.0,6603
W2 2024,Online Coping and Support Seeking under Distress,v22,v22_1,6603,0,0.0,6603
W2 2024,Online Coping and Support Seeking under Distress,v22,v22_2,6603,0,0.0,6603
W2 2024,Online Coping and Support Seeking under Distress,v22,v22_3,6603,0,0.0,6603
W2 2024,Online Coping and Support Seeking under Distress,v22,v22_4,6603,0,0.0,6603
W2 2024,Online Coping and Support Seeking under Distress,v22,v22_5,6603,0,0.0,6603
W2 2024,Online Coping and Support Seeking under Distress,v22,v22_6,6603,0,0.0,6603
W3 2025,Online Coping and Support Seeking under Distress,24,24-1,6603,0,0.0,6603
W3 2025,Online Coping and Support Seeking under Distress,24,24-2,6603,0,0.0,6603
W3 2025,Online Coping and Support Seeking under Distress,24,24-3,6603,0,0.0,6603
W3 2025,Online Coping and Support Seeking under Distress,24,24-4,6603,0,0.0,6603
W3 2025,Online Coping and Support Seeking under Distress,24,24-5,6603,0,0.0,6603
W3 2025,Online Coping and Support Seeking under Distress,24,24-6,6603,0,0.0,6603
W3 2025,Online Coping and Support Seeking under Distress,24,24-7,6603,0,0.0,6603
W2 2024,Parental Marital Status / Family Structure,v2,v2,6603,0,0.0,6603
W3 2025,Parental Marital Status / Family Structure,3,3,6603,0,0.0,6603
