school_id,class_name,seat_no,in_Online_Like,in_Online_Dislike,in_Offline_Like,in_Offline_Dislike
34563,802,14,0,1,0,1
34563,802,17,1,0,1,1
34563,802,21,0,1,0,1
34563,802,26,0,1,1,1
34563,802,33,0,0,0,1
34563,802,49,0,0,0,1
34563,802,59,0,1,0,0
34563,807,1,0,1,0,0
34563,807,2,0,1,0,1
34563,807,6,1,1,1,1
34563,807,11,1,1,1,1
34563,807,13,1,1,1,1
34563,807,20,1,1,1,1
34563,807,21,1,0,1,0
34563,807,22,1,0,1,0
34563,807,24,1,0,1,0
34565,803,1,1,1,1,1
34565,803,4,1,0,1,0
34565,803,11,1,0,1,0
34565,803,23,0,1,0,1
34565,803,26,0,0,1,0
34565,803,33,1,1,1,1
34565,803,45,0,0,0,1
34565,803,57,0,1,0,0
34565,809,17,0,1,0,0
34565,809,19,0,1,0,0
34565,809,22,1,1,1,1
44501,八年二班,9,1,0,1,0
44501,八年二班,11,1,1,1,1
44501,八年二班,15,1,0,1,0
44501,八年二班,18,0,0,0,1
44501,八年二班,19,1,1,1,1
44501,八年二班,30,1,0,1,1
44501,八年五班,1,1,1,1,1
44501,八年五班,8,1,1,1,1
44501,八年五班,9,1,1,1,1
44501,八年五班,11,1,1,1,1
44501,八年五班,13,1,1,1,0
44501,八年五班,17,1,0,1,0
44501,八年五班,18,1,1,1,1
44501,八年五班,24,1,0,1,0
44501,八年五班,25,1,0,1,0
44501,八年五班,57,1,0,0,0
44501,八年五班,58,1,0,0,0
44501,八年五班,59,1,0,0,0
44501,八年五班,60,1,0,0,0
44506,801,1,1,0,1,0
44506,801,4,1,0,1,0
44506,801,7,1,0,0,0
44506,801,8,1,0,1,0
44506,801,10,0,1,0,1
44506,801,14,1,0,1,0
44506,801,16,0,0,0,1
44506,801,19,0,1,0,0
44506,801,21,1,0,0,0
44506,801,22,1,0,0,0
44506,801,23,0,1,1,1
44506,801,25,0,1,0,1
44506,801,26,0,1,1,1
44522,801,7,1,1,1,1
44522,801,8,0,1,0,1
44522,801,11,1,1,1,1
44522,801,12,0,1,0,1
44522,801,24,0,1,0,1
44522,801,25,0,1,0,1
44522,801,27,1,0,1,0
44522,801,29,0,1,0,1
44522,801,30,1,1,1,1
44522,801,31,1,1,1,1
44522,801,34,1,0,1,0
44522,801,35,0,1,0,1
44522,802,8,1,1,1,1
44522,802,9,1,1,1,1
44522,802,10,0,1,0,1
44522,802,14,1,1,1,1
44522,802,19,1,0,1,0
44522,802,20,1,1,1,1
44522,802,25,1,0,1,0
44522,802,26,1,0,1,1
44522,802,29,1,0,1,0
44522,802,60,1,0,0,0
44524,801,1,0,0,0,1
44524,801,2,1,1,1,1
44524,801,4,0,0,1,1
44524,801,5,0,1,0,1
44524,801,6,1,1,1,1
44524,801,8,1,1,0,0
44524,801,11,1,0,1,1
44524,801,14,1,0,1,1
44524,801,15,1,0,1,0
44524,801,16,0,1,0,1
44524,801,21,1,0,1,0
44524,801,22,1,1,1,1
44524,802,4,1,0,1,0
44524,802,5,1,0,1,1
44524,802,7,1,1,1,1
44524,802,8,1,0,1,1
44524,802,9,1,0,1,0
44524,802,11,1,1,1,1
44524,802,19,1,0,1,1
44524,802,20,1,1,1,1
44524,802,22,1,1,1,0
44529,8,17,0,1,0,1
44529,8,18,0,1,0,1
44529,8,19,0,1,0,1
44529,8,20,0,1,0,1
44529,8,21,1,1,1,1
44529,8,36,0,1,0,0
44529,8,39,0,1,0,0
51302,801,35,1,0,1,0
51302,801,39,1,1,1,1
51302,801,52,0,1,0,0
51302,801,53,0,1,0,0
51302,801,54,0,0,0,1
51302,801,56,0,1,0,1
51302,801,57,0,0,0,1
51302,801,59,0,1,0,1
51302,801,60,1,1,0,1
51302,805,2,1,1,1,1
51302,805,6,1,0,1,0
51302,805,7,1,1,1,1
51302,805,8,1,1,1,1
51302,805,9,1,0,1,0
51302,805,10,1,0,1,1
51302,805,14,1,1,1,0
51302,805,15,1,0,1,1
51302,805,17,1,1,1,0
51302,805,18,0,1,0,1
51302,805,19,1,1,0,1
51302,805,21,0,0,0,1
51302,805,22,1,0,1,0
51302,805,23,1,0,1,0
51302,805,25,1,0,1,1
51302,805,31,0,1,0,0
51302,805,34,1,0,1,0
51302,805,36,1,0,1,0
51302,805,38,1,0,1,0
51302,805,39,0,1,0,1
54502,八年二班,11,0,1,0,1
54502,八年二班,12,1,1,1,1
54502,八年二班,13,1,0,1,0
54502,八年二班,15,1,1,1,1
54502,八年二班,18,1,1,1,0
54502,八年二班,24,1,1,1,0
54502,八年四班,3,0,1,1,1
54502,八年四班,7,1,1,1,1
54502,八年四班,13,1,1,1,1
54502,八年四班,14,1,1,1,0
54502,八年四班,17,1,1,1,1
54502,八年四班,19,0,0,1,0
54502,八年四班,21,1,1,1,1
54505,八年一班,1,1,1,1,1
54505,八年一班,2,1,0,1,1
54505,八年一班,6,0,1,1,1
54505,八年一班,7,1,1,1,1
54505,八年一班,8,1,1,1,0
54505,八年一班,9,1,0,1,0
54505,八年一班,10,1,0,1,0
54505,八年一班,11,1,0,1,0
54505,八年一班,14,0,1,0,1
54505,八年一班,16,0,1,1,0
54505,八年一班,22,1,0,1,0
54505,八年一班,24,1,0,1,0
54505,八年一班,25,1,0,1,1
54505,八年一班,27,1,0,1,0
54505,八年一班,28,1,0,1,0
54505,八年五班,2,1,1,1,0
54505,八年五班,4,0,1,0,1
54505,八年五班,8,1,0,1,0
54505,八年五班,13,0,1,0,1
54505,八年五班,14,0,1,0,1
54505,八年五班,20,1,1,1,1
54505,八年五班,25,1,0,1,0
54505,八年五班,28,1,0,1,0
54523,八年孝班,3,1,1,1,1
54523,八年孝班,9,1,1,0,1
54523,八年孝班,12,0,1,0,1
54523,八年孝班,14,0,1,0,0
54523,八年忠班,5,1,1,1,1
54523,八年忠班,12,1,0,1,0
54523,八年忠班,14,0,1,0,1
54523,八年忠班,18,1,1,1,1
54523,八年忠班,19,1,0,1,0
