student_id,school_id,class,v13,nominated_seat_no,rank
s112014322057,14322,811.0,6,22,2
s112014322057,14322,811.0,6,25,3
s112014322057,14322,811.0,6,12,4
s112014322058,14322,811.0,7,1,1
s112014322058,14322,811.0,7,28,2
s112014322058,14322,811.0,7,14,3
s112014322058,14322,811.0,7,5,4
s112014322058,14322,811.0,7,4,5
s112014322059,14322,811.0,8,26,1
s112014322060,14322,811.0,9,1,1
s112014322060,14322,811.0,9,2,2
s112014322060,14322,811.0,9,7,3
s112014322060,14322,811.0,9,10,4
s112014322060,14322,811.0,9,3,5
s112014322062,14322,811.0,11,22,1
s112014322062,14322,811.0,11,25,2
s112014322064,14322,811.0,13,2,1
s112014322064,14322,811.0,13,7,2
s112014322064,14322,811.0,13,9,3
s112014322064,14322,811.0,13,10,4
s112014322064,14322,811.0,13,22,5
s112014322070,14322,811.0,21,1,1
s112014322070,14322,811.0,21,12,2
s112014322070,14322,811.0,21,7,3
s112014322071,14322,811.0,22,1,1
s112014322071,14322,811.0,22,2,2
s112014322071,14322,811.0,22,12,3
s112014322071,14322,811.0,22,9,4
s112014322071,14322,811.0,22,13,5
s112014322074,14322,811.0,25,27,1
s112014322074,14322,811.0,25,28,2
s112014322074,14322,811.0,25,21,3
s112014322074,14322,811.0,25,22,4
s112014322074,14322,811.0,25,6,5
s112014322075,14322,811.0,26,21,1
s112014322075,14322,811.0,26,22,2
s112014322075,14322,811.0,26,27,3
s112014322075,14322,811.0,26,28,4
s112014322075,14322,811.0,26,9,5
s112014322076,14322,811.0,27,1,1
s112014322076,14322,811.0,27,26,2
s112014322076,14322,811.0,27,25,3
s112014322076,14322,811.0,27,10,4
s112014322076,14322,811.0,27,9,5
s112014322077,14322,811.0,28,6,1
s112014322077,14322,811.0,28,7,3
s112014332026,14332,805.0,3,17,1
s112014332026,14332,805.0,3,7,2
s112014332026,14332,805.0,3,11,3
s112014332026,14332,805.0,3,14,4
s112014332026,14332,805.0,3,16,5
s112014332027,14332,805.0,4,11,1
s112014332028,14332,805.0,5,11,1
s112014332028,14332,805.0,5,17,2
s112014332029,14332,805.0,6,11,1
s112014332029,14332,805.0,6,17,2
s112014332030,14332,805.0,7,17,1
s112014332030,14332,805.0,7,11,2
s112014332030,14332,805.0,7,25,3
s112014332030,14332,805.0,7,3,4
s112014332030,14332,805.0,7,15,5
s112014332032,14332,805.0,9,17,1
s112014332033,14332,805.0,10,17,1
s112014332034,14332,805.0,11,5,1
s112014332034,14332,805.0,11,25,2
s112014332035,14332,805.0,12,10,1
s112014332035,14332,805.0,12,11,2
s112014332036,14332,805.0,13,25,1
s112014332036,14332,805.0,13,17,2
s112014332036,14332,805.0,13,11,3
s112014332036,14332,805.0,13,10,4
s112014332037,14332,805.0,14,11,1
s112014332037,14332,805.0,14,13,2
s112014332037,14332,805.0,14,17,3
s112014332037,14332,805.0,14,25,4
s112014332038,14332,805.0,15,17,1
s112014332038,14332,805.0,15,11,2
s112014332039,14332,805.0,16,11,1
s112014332039,14332,805.0,16,10,2
s112014332040,14332,805.0,17,11,1
s112014332040,14332,805.0,17,13,2
s112014332040,14332,805.0,17,25,3
s112014332040,14332,805.0,17,9,4
s112014332042,14332,805.0,19,25,1
s112014332042,14332,805.0,19,11,2
s112014332042,14332,805.0,19,17,3
