scenario,model_type,feature,coef_abs,relative_importance_pct,coef_direction
w3_predict_w3,lasso,53-2,0.18137962075121244,3.7000264588281357,negative
w3_predict_w3,lasso,39-14,0.14151684668965714,2.8868517584997555,negative
w3_predict_w3,lasso,5-1,0.1332688319587827,2.7185976150042235,positive
w3_predict_w3,lasso,26-13,0.11931398038301017,2.4339277064139955,positive
w3_predict_w3,lasso,53-15,0.11926784530055687,2.4329865806962854,negative
w3_predict_w3,lasso,53-5,0.11543895121606836,2.354879628206347,positive
w3_predict_w3,lasso,53-4,0.11222440942145523,2.289305063413362,positive
w3_predict_w3,lasso,53-12,0.1036100037875569,2.1135767834638686,positive
w3_predict_w3,lasso,24-7,0.10156514167689167,2.071862924526571,positive
w3_predict_w3,lasso,29-10,0.09983595009282069,2.0365885393065173,positive
